srid,recommendation,keywords,hazmat,most_wanted,priority,priority_number,nprm,is_reiterated,times_reiterated,rec_letter_url
R-18-023,TO THE AMERICAN PUBLIC TRANSPORTATION ASSOCIATION: Develop performance standards for the use of forward collision avoidance systems technology for light-rail vehicles operating on an urban street environment.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-023
R-18-017,"TO THE FEDERAL RAILROAD ADMINISTRATION: Review railroads’ on-track safety programs to determine if the necessary equipment is required and provided for a watchman/lookout to notify roadway work groups of approaching trains. If deficiencies are discovered, use enforcement options to encourage compliance.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-016-022.pdf
R-18-016,"TO THE FEDERAL RAILROAD ADMINISTRATION: Review, and modify if necessary, your current inspection guidance regarding watchman/lookout equipment to verify that it requires railroads to provide the necessary equipment for a watchman/lookout to notify a roadway work group of approaching trains and that this accurately reflects the definition contained in Title 49 Code of Federal Regulations 214.7.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-016-022.pdf
R-18-018,"TO THE FEDERAL RAILROAD ADMINISTRATION: Revise your guidance for inspectors regarding required watchman/lookout equipment and procedures, train all of your inspectors on the revised guidance, and audit subsequent inspections to verify adherence to the specifications outlined in Title 49 Code of Federal Regulations 214.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-016-022.pdf
R-18-019,TO THE FEDERAL RAILROAD ADMINISTRATION: Modify the National Inspection Plan to require periodic unannounced inspections for roadway worker protection regulation compliance.,NA,FALSE,FALSE,NonUrgent,2,TRUE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-016-022.pdf
R-18-020,TO BNSF RAILWAY: Include evaluations on the visual detection of trains as a regular component of roadway work group employees’ required operational testing.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-016-022.pdf
R-18-021,TO BNSF RAILWAY: Revise your on-track safety program to include the proper equipment for watchmen/lookouts to provide train approach warning for roadway work groups.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-016-022.pdf
R-18-022,TO BNSF RAILWAY: Provide instruction for on-track safety procedures and conduct operational testing for roadway worker-in-charge personnel on their knowledge of roadway work group job briefing procedures to ensure that they know to include information on how on-track safety is to be provided when a roadway worker will be fouling a track.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-016-022.pdf
R-18-012,"AMERICAN RAILWAY ENGINEERING AND MAINTENANCE-OF-WAY ASSOCIATION: Assist the Federal Highway Administration (FHWA) in developing specific criteria to establish when an existing grade crossing should be reconstructed, closed, or otherwise have the risk posed by its unsafe vertical profile comprehensively mitigated, to be incorporated into the FHWA Railroad-Highway Grade Crossing Handbook.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/H-18-023-028_and_R-18-011-015.pdf
R-18-013,"TO THE ASSOCIATION OF AMERICAN RAILROADS AND AMERICAN SHORT LINE AND REGIONAL RAILROAD ASSOCIATION: Inform your members of the circumstances of the March 7, 2017, Biloxi, Mississippi, grade crossing crash, and emphasize the importance of communication with local and state highway transportation agencies regarding railroad maintenance activities and vehicle grounding incidents on grade crossings.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/H-18-023-028_and_R-18-011-015.pdf
R-18-015,TO ALL CLASS I RAILROADS: Implement a process to make information about incidents of vehicle groundings at grade crossings that did not result in a crash on your railroad available to the appropriate state departments of transportation.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/H-18-023-028_and_R-18-011-015.pdf
R-18-011,"TO THE FEDERAL RAILROAD ADMINISTRATION: Assist the Federal Highway Administration (FHWA) in developing specific criteria to establish when an existing grade crossing should be reconstructed, closed, or otherwise have the risk posed by its unsafe vertical profile comprehensively mitigated, to be incorporated into the FHWA Railroad-Highway Grade Crossing Handbook.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/H-18-023-028_and_R-18-011-015.pdf
R-18-014,TO ALL CLASS I RAILROADS: Implement a process to notify and coordinate with the local and state transportation agencies responsible for highway maintenance at grade crossings as early as possible before conducting any planned maintenance work that has the potential to increase track elevation.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/H-18-023-028_and_R-18-011-015.pdf
R-18-010,"TO THE FEDERAL RAILROAD ADMINISTRATION: Require railroads to develop a device or technique to eliminate the possibility of employees failing to perform critical tasks such as lining a switch, lining a derail, or ensuring cars are in the clear.",NA,FALSE,FALSE,NonUrgent,2,FALSE,TRUE,1,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-010.pdf
R-18-008,"TO THE UNITED STATES DEPARTMENT OF LABOR, OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION: Develop, and use, a process for forwarding notifications of railroad-related incidents and accidents involving railcars, locomotives, and track to the Federal Railroad Administration.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-008-009.pdf
R-18-009,"TO THE FEDERAL RAILROAD ADMINISTRATION: Review and evaluate the notifications received from the Occupational Safety and Health Administration, and use the information contained in them to modify the National Inspection Plan to include more plant railroads in your routine inspections.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-008-009.pdf
R-18-005,"TO THE FEDERAL RAILROAD ADMINISTRATION: Issue an Emergency Order directing railroads to require that when signal suspensions are in effect and a switch has been reported relined for a main track, the next train or locomotive to pass the location must approach the switch location at restricted speed. After the switch position is verified, the train crew must report to the dispatcher that the switch is correctly lined for the main track before trains are permitted to operate at maximum-authorized speed. (Urgent)",NA,FALSE,FALSE,Urgent,1,TRUE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-005.pdf
R-18-007,"TO THE METROPOLITAN TRANSPORTATION AUTHORITY: Following the completion of the audit, implement actions to correct any identified deficiencies. (Urgent)",NA,FALSE,FALSE,Urgent,1,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-006-007.pdf
R-18-006,TO THE METROPOLITAN TRANSPORTATION AUTHORITY: Audit Long Island Rail Road’s use of train approach warning as a method of worker protection for compliance with Long Island Rail Road rules and federal regulations. (Urgent),NA,FALSE,FALSE,Urgent,1,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-006-007.pdf
R-18-003,TO NEW JERSEY TRANSIT AND METROPOLITAN TRANSPORTATION AUTHORITY: Review and revise the hazard management portion of your system safety program plans to ensure that they document previous incidents and use them when identifying and assessing operational hazards.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-001-004.pdf
R-18-001,TO THE FEDERAL RAILROAD ADMINISTRATION: Require intercity passenger and commuter railroads to implement technology to stop a train before reaching the end of tracks.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-001-004.pdf
R-18-002,TO THE FEDERAL RAILROAD ADMINISTRATION: Include the Collision Hazard Analysis Guide for Commuter and Intercity Passenger Rail Service as part of the regulation or part of a detailed compliance manual to assist railroads in implementing Title 49 Code of Federal Regulations Part 270.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-001-004.pdf
R-18-004,"TO NEW JERSEY TRANSIT AND METROPOLITAN TRANSPORTATION AUTHORITY: Ensure that operator impairment due to medical conditions, including obstructive sleep apnea, is part of the hazard management portion of your system safety program plan.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-18-001-004.pdf
R-17-032,TO THE FEDERAL RAILROAD ADMINISTRATION: Research and evaluate wheel impact load thresholds to find remedial actions that address the mechanical condition of tank cars used in high-hazard flammable trains.,Hazmat,TRUE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-032-034.pdf
R-17-033,TO THE FEDERAL RAILROAD ADMINISTRATION: Mandate remedial actions that railroads should take to avoid or identify mechanical defects that are identified by wheel impact load detectors.,Hazmat,TRUE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-032-034.pdf
R-17-034,"TO THE FEDERAL RAILROAD ADMINISTRATION AND THE ASSOCIATION OF AMERICAN RAILROADS: Collaborate in the evaluation of safe kip thresholds to determine the remedial actions for suspected defective wheels conditions in high-hazard flammable train service based upon equipment detector data, and revise the Federal Railroad Administration Safety Advisory 2015-01 and the Association of American Railroads interchange rules.",Hazmat,TRUE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-032-034.pdf
R-17-031,TO UNION PACIFIC: Develop and implement a modification to the existing man-down alarms that allows yard workers to reliably differentiate between legitimate and noncritical man-down messages from remote control units.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-031.pdf
R-17-023,"TO AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION): Conduct a risk assessment for all engineering projects and use the results to issue significant speed restrictions for trains passing any engineering project that involves safety risks for workers, equipment, or the traveling public, such as ballast vacuuming, as part of a risk-mitigation policy.",NA,FALSE,FALSE,NonUrgent,2,FALSE,TRUE,1,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-017-030.pdf
R-17-025,"TO AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION): Work collaboratively with labor to develop and implement a viable safety reporting system (for example, C3RS); ensure that employees do not experience reprisal for using the system; respond quickly to the data collected; and communicate any resulting safety improvements to all employees.",NA,FALSE,FALSE,NonUrgent,2,TRUE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-017-030.pdf
R-17-017,"TO THE FEDERAL RAILROAD ADMINISTRATION: Enact Title 49 Code of Federal Regulations Part 270, System Safety Program, without further delay.",NA,FALSE,FALSE,NonUrgent,2,FALSE,TRUE,2,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-017-030.pdf
R-17-018,"TO THE FEDERAL RAILROAD ADMINISTRATION: Require railroads to install technology on hi-rail, backhoes, other independently operating pieces of maintenance-of-way equipment, and on the leading and trailing units of sets of maintenance-of-way equipment operated by maintenance workers to provide dispatchers and the dispatch system an independent source of information on the locations of this equipment to prevent unauthorized incursions by trains onto sections of track where maintenance activities are taking place in accordance with the Congressional mandate under the Rail Safety Improvement Act of 2008.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-017-030.pdf
R-17-019,TO AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION): Establish a method to ensure that on-track protection in an active work zone is not lost during shift transfer.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-017-030.pdf
R-17-020,TO AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION): Develop and implement an engineering safety procedure for preparing site-specific work plans for maintenance projects on the Northeast Corridor main line tracks spanning multiple shifts or multiple workdays to reduce or mitigate the inherent risks of maintenance-of-way work in a high-speed train operations environment.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-017-030.pdf
R-17-022,"TO AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION): Revise its train dispatcher rules so that potentially distracting activities, such as making personal telephone calls, are not allowed while dispatchers are on duty and responsible for safe train operations.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-017-030.pdf
R-17-024,TO AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION): Work with labor to achieve full participation in all applicable safety programs.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-017-030.pdf
R-17-026,"TO AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION): Work collaboratively with labor in an effort to develop a comprehensive safety management system program that complies with pending Federal Railroad Administration regulation Title 49 Code of Federal Regulations Part 270, System Safety Program, and that vitalizes safety goals and programs with executive management accountability; incorporates risk management controls for all operations affecting employees, contractors, and the traveling public; improves continually through safety data monitoring and feedback; and is promoted at all levels of the company.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-017-030.pdf
R-17-027,"TO AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION): Once Safety Recommendation R-17-26 is completed, implement the safety management system program throughout the company with resources sufficient to ensure that all levels of management and all labor unions involved with Amtrak operations accept and comply with the system.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-017-030.pdf
R-17-028,"TO THE BROTHERHOOD OF MAINTENANCE OF WAY EMPLOYEES DIVISION, AMERICAN RAILWAY AND AIRWAY SUPERVISORS ASSOCIATION, BROTHERHOOD OF LOCOMOTIVE ENGINEERS AND TRAINMEN, AND BROTHERHOOD OF RAILROAD SIGNALMEN: Work with Amtrak to improve the effectiveness of all applicable safety programs.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-017-030.pdf
R-17-029,"TO THE BROTHERHOOD OF MAINTENANCE OF WAY EMPLOYEES DIVISION, AMERICAN RAILWAY AND AIRWAY SUPERVISORS ASSOCIATION, BROTHERHOOD OF LOCOMOTIVE ENGINEERS AND TRAINMEN, AND BROTHERHOOD OF RAILROAD SIGNALMEN: Work collaboratively with Amtrak to develop and implement a viable safety reporting system (for example, C3RS).",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-017-030.pdf
R-17-030,"TO THE BROTHERHOOD OF MAINTENANCE OF WAY EMPLOYEES DIVISION, AMERICAN RAILWAY AND AIRWAY SUPERVISORS ASSOCIATION, BROTHERHOOD OF LOCOMOTIVE ENGINEERS AND TRAINMEN, AND BROTHERHOOD OF RAILROAD SIGNALMEN: Work collaboratively with Amtrak in an effort to develop a comprehensive safety management system program that complies with pending Federal Railroad Administration regulation Title 49 Code of Federal Regulations Part 270, System Safety Program, and that vitalizes safety goals and programs with executive management accountability; incorporates risk management controls for all operations affecting employees, contractors, and the traveling public; improves continually through safety data monitoring and feedback; and is promoted at all levels of the company.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-017-030.pdf
R-17-021,TO AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION): Require supervisors to review train dispatchers’ foul time log sheets to verify whether supplemental shunting devices are being adequately applied.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-017-030.pdf
R-17-016,"TO THE SOUTH FLORIDA REGIONAL TRANSPORTATION AUTHORITY AND VTMI: Issue updated instructions to your signal employees that incorporate the best practices outlined in the Federal Railroad Administration’s Safety Advisory 2013-04 by (1) advising the signal employees of the circumstances of this accident, (2) highlighting the importance of adhering to the specified industry best practices regarding the use of jumper wires and the application of test equipment, and (3) instructing signal employees that when they are testing a system to not interfere with the normal functioning of any system unless measures are taken to provide for the safety of highway traffic.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-016.pdf
R-17-013,"TO THE FEDERAL TRANSIT ADMINISTRATION: Require the installation, in all controlling locomotive cabs and cab car operating compartments, of crash- and fire-protected  inward- and outward-facing audio and image recorders capable of providing recordings to verify train crew actions and train operating conditions. The devices should have a minimum 12-hour continuous recording capability with recordings that are easily accessible for review, with appropriate limitations on public release, for the investigation of accidents and as a tool to improve operational safety.",NA,FALSE,FALSE,NonUrgent,2,TRUE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-013-015.pdf
R-17-014,TO THE SOUTHEASTERN PENNSYLVANIA TRANSPORTATION AUTHORITY: Install crash- and fire-protected inward- and outward-facing audio and image recorders capable of recording operator actions in all rail transit vehicle operating compartments. The devices should have a minimum 12-hour continuous recording capability with recordings that are easily accessible for review for the investigation of accidents and as a tool to improve operational safety.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-013-015.pdf
R-17-015,"TO THE SOUTHEASTERN PENNSYLVANIA TRANSPORTATION AUTHORITY: Publish a semiannual report detailing your progress in installing crash- and fire protected inward- and outward-facing audio and image recorders until the installation is complete. The report should include the number of rail transit vehicle operating compartments with the recorders, and the number of compartments in your fleet that lack them.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-013-015.pdf
R-17-008,"TO THE FEDERAL TRANSIT ADMINISTRATION: After a full risk assessment is complete, require all rail transit properties to implement corrections based on their findings that will mitigate the risk of highway-railroad grade crossing accident severity.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-007-012.pdf
R-17-007,TO THE FEDERAL TRANSIT ADMINISTRATION: Notify all rail transit properties that have third rail systems at or near highway-railroad grade crossings about this accident and advise them to conduct a risk assessment for those highway-railroad grade crossings.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-007-012.pdf
R-17-010,"TO THE LONG ISLAND RAIL ROAD, THE NATIONAL RAILROAD PASSENGER CORPORATION, PORT AUTHORITY TRANS-HUDSON CORPORATION, AND SOUTHEASTERN PENNSYLVANIA TRANSPORTATION AUTHORITY: Conduct a risk assessment for all highway-railroad grade crossings that have third rail systems present at or near those highway-railroad grade crossings and implement corrections based on your risk assessment findings that will mitigate the risk of highway-railroad grade crossing accident severity.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-007-012.pdf
R-17-009,TO METRO-NORTH RAILROAD: Conduct a risk assessment for all highway-railroad grade crossings that have third rail systems present at or near those highway-railroad grade crossings and implement corrections based on your risk assessment findings that will mitigate the risk of highway-railroad grade crossing accident severity.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-007-012.pdf
R-17-011,"TO THE STATE OF NEW YORK, DEPARTMENT OF TRANSPORTATION: Once you complete an assessment at intersections in your regions near highway-railroad grade crossings with preemptive traffic signals, proceed with making any necessary adjustments based on engineering principles and current industry guidance.",NA,FALSE,FALSE,NonUrgent,2,TRUE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-007-012.pdf
R-17-012,"TO THE TOWN OF MOUNT PLEASANT, NEW YORK: Take action based on the results of your traffic study and the Federal Highway Administration’s August 2007 guidelines to improve grade crossing safety in the town of Mount Pleasant.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-007-012.pdf
R-17-005,"TO THE PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION: Include the increased derailment risks associated with Class 1 track, the relationship between the weight of the railcars and the weight of the rail, and the potential failure of legacy US Department of Transportation-111 tank cars during derailments in the list of items for railroads to consider when determining the routes for high-hazard flammable trains or high-hazard flammable unit trains, as found in appendix D of title 49 Code of Federal Regulations Part 172.",Hazmat,TRUE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-005-006.pdf
R-17-006,TO THE PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION AND THE FEDERAL RAILROAD ADMINISTRATION: Work together to develop specific guidance for railroads when using the list of items found in appendix D of title 49 Code of Federal Regulations Part 172 in their risk assessments and apply the information gathered in those risk assessments when analyzing proposed routes for high-hazard flammable trains or high-hazard flammable unit trains.,Hazmat,TRUE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-005-006.pdf
R-17-004,"TO THE FEDERAL TRANSIT ADMINISTRATION: Utilize your authority under Title 49 Code of Federal Regulations 670.25, and issue a general directive that would require all state safety oversight agencies to direct rail transit agencies to periodically test the performance of all of their rail transit vehicle braking systems to detect potential latent system failures.",NA,FALSE,FALSE,NonUrgent,2,TRUE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-004.pdf
R-17-001,"TO THE PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION: Evaluate the risks posed to train crews by hazardous materials transported by rail, determine the adequate separation distance between hazardous materials cars and locomotives and occupied equipment that ensures the protection of train crews during both normal operations and accident conditions, and collaborate with the Federal Railroad Administration to revise 49 Code of Federal Regulations 174.85 to reflect those findings. (Supersedes R-08-013)",Hazmat,TRUE,TRUE,NonUrgent,2,TRUE,TRUE,1,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-001-002.pdf
R-17-003,"TO THE FEDERAL RAILROAD ADMINISTRATION: Evaluate the risks posed to train crews by hazardous materials transported by rail, determine the adequate separation distance between hazardous materials cars and locomotives and occupied equipment that ensures the protection of train crews during both normal operations and accident conditions, and collaborate with the Pipeline and Hazardous Materials Safety Administration to revise 49 Code of Federal Regulations 174.85 to reflect those findings. (Supersedes R-08-012)",Hazmat,TRUE,TRUE,NonUrgent,2,TRUE,TRUE,1,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-003.pdf
R-17-002,"TO THE PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION: Pending completion of the risk evaluation and action in accordance with its findings prescribed in Safety Recommendation R-17-01, withdraw regulatory interpretation 06-0278 that pertains to 49 Code of Federal Regulations 174.85 for positioning placarded rail cars in a train and require that all trains have a minimum of five nonplacarded cars between any locomotive or occupied equipment and the nearest placarded car transporting hazardous materials, regardless of train length and consist.",Hazmat,TRUE,TRUE,NonUrgent,2,TRUE,TRUE,1,http://www.ntsb.gov/safety/safety-recs/recletters/R-17-001-002.pdf
R-16-045,"TO BNSF RAILWAY, CANADIAN NATIONAL RAILWAY, CANADIAN PACIFIC RAILWAY, CSX TRANSPORTATION, KANSAS CITY SOUTHERN RAILWAY, NORFOLK SOUTHERN RAILWAY, INTERCITY RAILROADS, AND COMMUTER RAILROADS: Review and revise as necessary your medical rules, standards, or protocols to ensure you are informed of any diagnosed sleep disorders that employees in safety-sensitive positions must report and, when an employee makes such a report, perform periodic evaluations to ensure the condition is appropriately treated and the employee is fit for duty.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-16-045-047.pdf
R-16-044,TO THE FEDERAL RAILROAD ADMINISTRATION: Develop and enforce medical standards that railroad employees in safety-sensitive positions diagnosed with sleep disorders must meet to be considered fit for duty.,NA,FALSE,FALSE,NonUrgent,2,FALSE,TRUE,1,http://www.ntsb.gov/safety/safety-recs/recletters/R-16-043-044.pdf
R-16-046,"TO CLASS I RAILROADS: Revise your scheduling practices for train crews and implement science-based tools, such as validated biomathematical models, to reduce start time variability that results in irregular work-rest cycles and fatigue.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-16-045-047.pdf
R-16-047,"TO UNION PACIFIC RAILROAD: Revise your medical rules to add any diagnosed sleep disorder to the list of medical conditions that employees in safety-sensitive positions must report and, when an employee makes such a report, perform periodic evaluations to ensure the condition is appropriately treated and the employee is fit for duty.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-16-045-047.pdf
R-16-043,"TO THE FEDERAL RAILROAD ADMINISTRATION: Require freight railroads to use validated biomathematical fatigue models, similar to the models used by passenger railroads, to develop work schedules that do not pose an excessive risk of fatigue.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-16-043-044.pdf
R-16-033,TO THE FEDERAL RAILROAD ADMINISTRATION: Modify form 6180.54 (Rail Equipment Accident/Incident Report) to include the number of crewmembers in the controlling cab of the train at the time of an accident.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-16-032-036.pdf
R-16-035,"TO THE FEDERAL RAILROAD ADMINISTRATION: Conduct research to evaluate the causes of passenger injuries in passenger railcar derailments and overturns and evaluate potential methods for mitigating those injuries, such as installing seat belts in railcars and securing potential projectiles.",NA,FALSE,FALSE,NonUrgent,2,FALSE,TRUE,3,http://www.ntsb.gov/safety/safety-recs/recletters/R-16-032-036.pdf
R-16-032,TO THE FEDERAL RAILROAD ADMINISTRATION: Require railroads to install devices and develop procedures that will help crewmembers identify their current location and display their upcoming route in territories where positive train control (PTC) will not be implemented.,NA,FALSE,FALSE,NonUrgent,2,FALSE,TRUE,1,http://www.ntsb.gov/safety/safety-recs/recletters/R-16-032-036.pdf
R-16-034,"TO THE FEDERAL RAILROAD ADMINISTRATION: After form 6180.54 is modified as specified in Safety Recommendation R-16-33, use the data regarding number of crewmembers in the controlling cab of the train at the time of an accident to evaluate the safety adequacy of current crew size regulations.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-16-032-036.pdf
R-16-036,"TO THE FEDERAL RAILROAD ADMINISTRATION: When the research specified in Safety Recommendation R-16-35 identifies safety improvements, use the findings to develop occupant protection standards for passenger railcars to mitigate passenger injuries likely to occur during derailments and overturns.",NA,FALSE,FALSE,NonUrgent,2,FALSE,TRUE,3,http://www.ntsb.gov/safety/safety-recs/recletters/R-16-032-036.pdf
R-16-038,"TO THE AMERICAN PUBLIC TRANSPORTATION ASSOCIATION AND THE ASSOCIATION OF AMERICAN RAILROADS: Develop criteria for initial and recurrent training for operating crewmembers that reinforce strategies for recognizing and effectively managing multiple concurrent tasks and prolonged, atypical situations to sustain their attention on current and upcoming train operations, and distribute those criteria to your members.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-16-038.pdf
R-16-039,"TO PHILADELPHIA POLICE DEPARTMENT AND PHILADELPHIA OFFICE OF EMERGENCY MANAGEMENT: Collaborate and develop a plan that effectively integrates rapid police transport of patients into the emergency medical response plans for large mass casualty incidents, including a means of coordinating hospital destinations regardless of the method of transport.",NA,FALSE,FALSE,NonUrgent,2,TRUE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-16-039-040.pdf
R-16-040,"TO PHILADELPHIA POLICE DEPARTMENT AND PHILADELPHIA OFFICE OF EMERGENCY MANAGEMENT: Once the plan specified in Safety Recommendation R-16-39 is developed, practice the plan periodically, including at least one full-scale drill every 3 years, to ensure that it functions as intended.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-16-039-040.pdf
