srid,recommendation_mode,event_date,city,state,country,abstract,date_issued,recipient,recipient_recommendation_date_closed,is_multiple_recipient,recommendation,sr_coding_mode,sr_coding_tier_1,sr_coding_tier2,ntsb_no,mkey,report_no,sr_url,accident_report_url,recipient_recommendation_open_closed,recipient_recommendation_response_status
R-14-050,Railroad,2013-05-28T21:59:00Z,Rosedale,Maryland,USA,"On May 28, 2013, about 1:59 p.m., a 2003 Mack Granite three-axle roll-off straight truck, operated by Alban Waste, LLC, was traveling northwest on a private road in Rosedale, Maryland, toward a private highway–railroad grade crossing. The grade crossing consisted of two tracks and was marked on each side with a crossbuck sign. The truck was carrying a load of debris to a recycling center located 3.5 miles from the carrier terminal. About the same time, a CSX Transportation Company (CSXT) freight train—which consisted of two locomotives, 31 empty cars, and 14 loaded cars—was traveling southwest at a recorded speed of 49 mph. As the train approached the crossing, the train horn sounded three times. The truck did not stop; and as the train traversed the crossing, it struck the truck on the right side, causing the truck to rotate and overturn before coming to rest on the earthen embankment on the northwest side of the tracks. The first 15 cars of the 45-car train derailed.",2014-10-22T04:00:00Z, State of Wisconsin,2020-10-22,TRUE,"TO THE FIFTY STATES, PUERTO RICO, AND THE DISTRICT OF COLUMBIA: Enact legislation adopting all elements of the Federal Railroad Administration’s model law known as the “Adequate Sight Distance at Passive Highway–Rail Grade Crossings Act.”",NA,NA,NA,HWY13MH013,87013,HAR-14-02,https://data.ntsb.gov/carol-main-public/sr-details/R-14-050,https://www.ntsb.gov/investigations/Pages/HWY13MH013.aspx,Closed,Unacceptable Action No Response Received
R-14-050,Railroad,2013-05-28T21:59:00Z,Rosedale,Maryland,USA,"On May 28, 2013, about 1:59 p.m., a 2003 Mack Granite three-axle roll-off straight truck, operated by Alban Waste, LLC, was traveling northwest on a private road in Rosedale, Maryland, toward a private highway–railroad grade crossing. The grade crossing consisted of two tracks and was marked on each side with a crossbuck sign. The truck was carrying a load of debris to a recycling center located 3.5 miles from the carrier terminal. About the same time, a CSX Transportation Company (CSXT) freight train—which consisted of two locomotives, 31 empty cars, and 14 loaded cars—was traveling southwest at a recorded speed of 49 mph. As the train approached the crossing, the train horn sounded three times. The truck did not stop; and as the train traversed the crossing, it struck the truck on the right side, causing the truck to rotate and overturn before coming to rest on the earthen embankment on the northwest side of the tracks. The first 15 cars of the 45-car train derailed.",2014-10-22T04:00:00Z, State of Wyoming,2020-10-21,TRUE,"TO THE FIFTY STATES, PUERTO RICO, AND THE DISTRICT OF COLUMBIA: Enact legislation adopting all elements of the Federal Railroad Administration’s model law known as the “Adequate Sight Distance at Passive Highway–Rail Grade Crossings Act.”",NA,NA,NA,HWY13MH013,87013,HAR-14-02,https://data.ntsb.gov/carol-main-public/sr-details/R-14-050,https://www.ntsb.gov/investigations/Pages/HWY13MH013.aspx,Closed,Unacceptable Action
R-14-040,Railroad,2014-07-17T04:00:00Z,NA,NA,NA,"As defined by Title 49 Code of Federal Regulations (CFR) 214.7, roadway worker means 
any employee of a railroad, or of a contractor to a railroad, whose duties include inspection, construction, maintenance or repair of railroad track, bridges, roadway, signal and communication systems, electric traction systems, roadway facilities or roadway maintenance machinery on or near track or with the potential of fouling a track, and flagmen and watchmen/lookouts as defined in this section.
Throughout this special investigation report, the term roadway worker will mean the definition above as well as all engineering employees who are on or near the tracks, regardless of their duties. Railroad and rail transit roadway workers are subject to on-the-job risks and hazards markedly different from those faced by other railroad employees. The jobs of railroad engineers and conductors include risks primarily related to moving trains—derailments, collisions with other trains; the jobs of roadway workers involve hazards that include moving rolling stock and other equipment and vehicles, as well as falls, electrocution, and natural hazards.",2014-10-22T04:00:00Z,FTA,2025-09-22,FALSE,TO THE FEDERAL TRANSIT ADMINISTRATION: Establish a national inspection program that specifically includes roadway worker activities.,NA,NA,NA,DCA14SR002,89682,SIR-14-03,https://data.ntsb.gov/carol-main-public/sr-details/R-14-040,https://www.ntsb.gov/safety/safety-studies/Pages/SIR1403.aspx,Closed,Acceptable Action
R-14-036,Railroad,2014-07-17T04:00:00Z,NA,NA,NA,"As defined by Title 49 Code of Federal Regulations (CFR) 214.7, roadway worker means 
any employee of a railroad, or of a contractor to a railroad, whose duties include inspection, construction, maintenance or repair of railroad track, bridges, roadway, signal and communication systems, electric traction systems, roadway facilities or roadway maintenance machinery on or near track or with the potential of fouling a track, and flagmen and watchmen/lookouts as defined in this section.
Throughout this special investigation report, the term roadway worker will mean the definition above as well as all engineering employees who are on or near the tracks, regardless of their duties. Railroad and rail transit roadway workers are subject to on-the-job risks and hazards markedly different from those faced by other railroad employees. The jobs of railroad engineers and conductors include risks primarily related to moving trains—derailments, collisions with other trains; the jobs of roadway workers involve hazards that include moving rolling stock and other equipment and vehicles, as well as falls, electrocution, and natural hazards.",2014-10-22T04:00:00Z,FRA,2018-01-19,TRUE,TO THE FEDERAL RAILROAD ADMINISTRATION AND THE FEDERAL TRANSIT ADMINISTRATION: Require initial and recurring training for roadway workers in hazard recognition and mitigation. Such training should include recognition and mitigation of the hazards of tasks being performed by coworkers.,NA,NA,NA,DCA14SR002,89682,SIR-14-03,https://data.ntsb.gov/carol-main-public/sr-details/R-14-036,https://www.ntsb.gov/safety/safety-studies/Pages/SIR1403.aspx,Closed,Acceptable Action
R-14-036,Railroad,2014-07-17T04:00:00Z,NA,NA,NA,"As defined by Title 49 Code of Federal Regulations (CFR) 214.7, roadway worker means 
any employee of a railroad, or of a contractor to a railroad, whose duties include inspection, construction, maintenance or repair of railroad track, bridges, roadway, signal and communication systems, electric traction systems, roadway facilities or roadway maintenance machinery on or near track or with the potential of fouling a track, and flagmen and watchmen/lookouts as defined in this section.
Throughout this special investigation report, the term roadway worker will mean the definition above as well as all engineering employees who are on or near the tracks, regardless of their duties. Railroad and rail transit roadway workers are subject to on-the-job risks and hazards markedly different from those faced by other railroad employees. The jobs of railroad engineers and conductors include risks primarily related to moving trains—derailments, collisions with other trains; the jobs of roadway workers involve hazards that include moving rolling stock and other equipment and vehicles, as well as falls, electrocution, and natural hazards.",2014-10-22T04:00:00Z, FTA,2025-09-22,TRUE,TO THE FEDERAL RAILROAD ADMINISTRATION AND THE FEDERAL TRANSIT ADMINISTRATION: Require initial and recurring training for roadway workers in hazard recognition and mitigation. Such training should include recognition and mitigation of the hazards of tasks being performed by coworkers.,NA,NA,NA,DCA14SR002,89682,SIR-14-03,https://data.ntsb.gov/carol-main-public/sr-details/R-14-036,https://www.ntsb.gov/safety/safety-studies/Pages/SIR1403.aspx,Closed,Acceptable Action
R-14-037,Railroad,2014-07-17T04:00:00Z,NA,NA,NA,"As defined by Title 49 Code of Federal Regulations (CFR) 214.7, roadway worker means 
any employee of a railroad, or of a contractor to a railroad, whose duties include inspection, construction, maintenance or repair of railroad track, bridges, roadway, signal and communication systems, electric traction systems, roadway facilities or roadway maintenance machinery on or near track or with the potential of fouling a track, and flagmen and watchmen/lookouts as defined in this section.
Throughout this special investigation report, the term roadway worker will mean the definition above as well as all engineering employees who are on or near the tracks, regardless of their duties. Railroad and rail transit roadway workers are subject to on-the-job risks and hazards markedly different from those faced by other railroad employees. The jobs of railroad engineers and conductors include risks primarily related to moving trains—derailments, collisions with other trains; the jobs of roadway workers involve hazards that include moving rolling stock and other equipment and vehicles, as well as falls, electrocution, and natural hazards.",2014-10-22T04:00:00Z,FRA,2015-12-01,TRUE,"TO THE FEDERAL RAILROAD ADMINISTRATION AND THE FEDERAL TRANSIT ADMINISTRATION: Include union participation in accident investigations similar to that allowed by the Occupational Safety and Health Administration. Seek authority from Congress to allow such participation, if necessary.",NA,NA,NA,DCA14SR002,89682,SIR-14-03,https://data.ntsb.gov/carol-main-public/sr-details/R-14-037,https://www.ntsb.gov/safety/safety-studies/Pages/SIR1403.aspx,Closed,Unacceptable Action
R-14-037,Railroad,2014-07-17T04:00:00Z,NA,NA,NA,"As defined by Title 49 Code of Federal Regulations (CFR) 214.7, roadway worker means 
any employee of a railroad, or of a contractor to a railroad, whose duties include inspection, construction, maintenance or repair of railroad track, bridges, roadway, signal and communication systems, electric traction systems, roadway facilities or roadway maintenance machinery on or near track or with the potential of fouling a track, and flagmen and watchmen/lookouts as defined in this section.
Throughout this special investigation report, the term roadway worker will mean the definition above as well as all engineering employees who are on or near the tracks, regardless of their duties. Railroad and rail transit roadway workers are subject to on-the-job risks and hazards markedly different from those faced by other railroad employees. The jobs of railroad engineers and conductors include risks primarily related to moving trains—derailments, collisions with other trains; the jobs of roadway workers involve hazards that include moving rolling stock and other equipment and vehicles, as well as falls, electrocution, and natural hazards.",2014-10-22T04:00:00Z, FTA,2016-11-15,TRUE,"TO THE FEDERAL RAILROAD ADMINISTRATION AND THE FEDERAL TRANSIT ADMINISTRATION: Include union participation in accident investigations similar to that allowed by the Occupational Safety and Health Administration. Seek authority from Congress to allow such participation, if necessary.",NA,NA,NA,DCA14SR002,89682,SIR-14-03,https://data.ntsb.gov/carol-main-public/sr-details/R-14-037,https://www.ntsb.gov/safety/safety-studies/Pages/SIR1403.aspx,Closed,Unacceptable Action
R-14-038,Railroad,2014-07-17T04:00:00Z,NA,NA,NA,"As defined by Title 49 Code of Federal Regulations (CFR) 214.7, roadway worker means 
any employee of a railroad, or of a contractor to a railroad, whose duties include inspection, construction, maintenance or repair of railroad track, bridges, roadway, signal and communication systems, electric traction systems, roadway facilities or roadway maintenance machinery on or near track or with the potential of fouling a track, and flagmen and watchmen/lookouts as defined in this section.
Throughout this special investigation report, the term roadway worker will mean the definition above as well as all engineering employees who are on or near the tracks, regardless of their duties. Railroad and rail transit roadway workers are subject to on-the-job risks and hazards markedly different from those faced by other railroad employees. The jobs of railroad engineers and conductors include risks primarily related to moving trains—derailments, collisions with other trains; the jobs of roadway workers involve hazards that include moving rolling stock and other equipment and vehicles, as well as falls, electrocution, and natural hazards.",2014-10-22T04:00:00Z,FTA,NA,FALSE,"TO THE FEDERAL TRANSIT ADMINISTRATION: With assistance from the Federal Railroad Administration and the Occupational Safety and Health Administration, establish roadway worker protection rules, including requirements for job briefings.",NA,NA,NA,DCA14SR002,89682,SIR-14-03,https://data.ntsb.gov/carol-main-public/sr-details/R-14-038,https://www.ntsb.gov/safety/safety-studies/Pages/SIR1403.aspx,Open,Acceptable Response
R-14-035,Railroad,2014-07-17T04:00:00Z,NA,NA,NA,"As defined by Title 49 Code of Federal Regulations (CFR) 214.7, roadway worker means 
any employee of a railroad, or of a contractor to a railroad, whose duties include inspection, construction, maintenance or repair of railroad track, bridges, roadway, signal and communication systems, electric traction systems, roadway facilities or roadway maintenance machinery on or near track or with the potential of fouling a track, and flagmen and watchmen/lookouts as defined in this section.
Throughout this special investigation report, the term roadway worker will mean the definition above as well as all engineering employees who are on or near the tracks, regardless of their duties. Railroad and rail transit roadway workers are subject to on-the-job risks and hazards markedly different from those faced by other railroad employees. The jobs of railroad engineers and conductors include risks primarily related to moving trains—derailments, collisions with other trains; the jobs of roadway workers involve hazards that include moving rolling stock and other equipment and vehicles, as well as falls, electrocution, and natural hazards.",2014-10-22T04:00:00Z,FRA,2019-09-16,FALSE,TO THE FEDERAL RAILROAD ADMINISTRATION: Work with the Occupational Safety and Health Administration (OSHA) to establish clear guidelines for use by railroads and railroad workers detailing when and where OSHA standards are to be applied.,NA,NA,NA,DCA14SR002,89682,SIR-14-03,https://data.ntsb.gov/carol-main-public/sr-details/R-14-035,https://www.ntsb.gov/safety/safety-studies/Pages/SIR1403.aspx,Closed,Acceptable Action
R-14-039,Railroad,2014-07-17T04:00:00Z,NA,NA,NA,"As defined by Title 49 Code of Federal Regulations (CFR) 214.7, roadway worker means 
any employee of a railroad, or of a contractor to a railroad, whose duties include inspection, construction, maintenance or repair of railroad track, bridges, roadway, signal and communication systems, electric traction systems, roadway facilities or roadway maintenance machinery on or near track or with the potential of fouling a track, and flagmen and watchmen/lookouts as defined in this section.
Throughout this special investigation report, the term roadway worker will mean the definition above as well as all engineering employees who are on or near the tracks, regardless of their duties. Railroad and rail transit roadway workers are subject to on-the-job risks and hazards markedly different from those faced by other railroad employees. The jobs of railroad engineers and conductors include risks primarily related to moving trains—derailments, collisions with other trains; the jobs of roadway workers involve hazards that include moving rolling stock and other equipment and vehicles, as well as falls, electrocution, and natural hazards.",2014-10-22T04:00:00Z,FTA,2025-09-22,FALSE,"TO THE FEDERAL TRANSIT ADMINISTRATION: Once the action specified in Safety Recommendation R-14-38 is completed, update the state safety oversight program to ensure that rail transit systems are meeting the safety requirements for roadway workers.",NA,NA,NA,DCA14SR002,89682,SIR-14-03,https://data.ntsb.gov/carol-main-public/sr-details/R-14-039,https://www.ntsb.gov/safety/safety-studies/Pages/SIR1403.aspx,Closed,Acceptable Action
